timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472547410,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547412,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547412,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547415,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547418,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547420,13.60,61.28,,2.00,4.50,,,,4097,-260.00
1781472547423,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547426,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547429,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547432,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547432,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547434,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547437,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547437,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547440,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547443,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547445,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547448,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547448,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547451,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547454,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547456,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547456,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547459,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547462,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547465,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547467,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547470,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547470,13.60,59.84,,2.00,4.50,,,,4097,-260.00
1781472547473,13.60,59.84,,2.00,4.50,,,,4097,-260.00
